source,pitch_std,mean_wpm
[앵커의 마침표]‘공정’은 보편적 가치 ｜ 뉴스A [7hgKaTqL7TI].wav,62.115,146.40286023063504
[앵커의 마침표]K방역 오답 노트 ｜ 뉴스A [HHvTBio8IoU].wav,58.828,117.38670855594292
"[앵커의 마침표]AI 동맹, 깃발 오르길 ⧸ 채널A ⧸ 뉴스A [2pzPi4ot-zI].wav",72.873,116.35808744785795
[앵커의 마침표]5년을 쏟아부은 승리 ｜ 뉴스A [ZxexnUW-Cjw].wav,65.831,100.493312381207
[앵커의 마침표]4년 전 교훈 잊지 말아야 ｜ 뉴스A [-KrofRIYHT4].wav,57.388,116.0988850159673
"[앵커의 마침표]300개의 초심, 변치 말길 ｜ 뉴스A [NvloEn2VTE0].wav",69.401,128.02485607000708
[앵커의 마침표]2년째 희망고문 ｜ 뉴스A [UvL3_Z7xCVc].wav,70.741,152.46922941791252
[앵커의 마침표]121명 누구십니까？ ｜ 뉴스A [MM-hfswughc].wav,64.279,125.32068209707728
[앵커의 마침표] 애들 볼까 민망한 _불량_ 교육감 선거  ⧸ 채널A #shorts [vqkfBwJYWnk].wav,42.385,128.7255230020752
[앵커의 마침표]“내면 받는다” 신뢰가 개혁 ⧸ 채널A ⧸ 뉴스A [W_1K1Q5DuC8].wav,67.533,134.12386756571237
[앵커의 마침표]“교사가 살아야 학교가 산다.” ｜ 뉴스A [bXNjRfkW7bk].wav,48.494,128.854902061718
"[앵커의 마침표]“고맙습니다, 사랑합니다.” ｜ 뉴스A [xSN_Li97X88].wav",52.138,126.78319143916626
[앵커의 마침표]“가족끼리도 알잘딱깔센” ｜ 뉴스A [qVpNukAfaLI].wav,68.957,112.1827581933773
[앵커의 마침표]“가슴이 무너져 내린다” ｜ 뉴스A [g_5ZkcbM7eo].wav,59.131,129.6472332702716
[앵커의 마침표]‘취재가 시작되자’ 뉴스의 출발 ｜ 뉴스A [5PVu34JkvGo].wav,76.811,105.12284304426792
[앵커의 마침표]‘제2의 공수처’ 될라 ｜ 뉴스A [X02P2DbFUaU].wav,56.248,136.8928902743712
[앵커의 마침표]‘양치기 소년’ 정점 ｜ 뉴스A [T1hRFACNZ_0].wav,69.204,119.89797495777869
[앵커의 마침표]‘무사고’ 총선 ｜ 뉴스A [gcZcIdOIjJU].wav,66.682,100.32356365176182
[앵커의 마침표]‘무례’를 말하기 전에 ｜ 뉴스A [AEIjWGJg1us].wav,56.697,97.9749420242276
[앵커의 마침표]‘만사소통’ 대통령 ｜ 뉴스A [IWYOIgI9zX8].wav,58.743,122.3810455332542
[앵커의 마침표]“최악을 막는 것은 여전히 가능한 일” ｜ 뉴스A [T9T1RCswq5E].wav,62.647,135.50449371888254
[앵커의 마침표]“정치 다툼에 차례상 뒤집어질라” ｜ 뉴스A [5lNemSUmgME].wav,67.867,96.51590732702886
[앵커의 마침표]“전쟁을 멈춰라” ｜ 뉴스A [UdvI3_7-ryo].wav,56.152,107.01954425365564
"[앵커의 마침표]“재앙, 알고도 당할 순 없다.” ｜ 뉴스A [A2dP65MkRWY].wav",45.7,105.17076717600824
[앵커의 마침표]“일하는 국회를 찾습니다.” ｜ 뉴스A [BNyvRBPecVI].wav,56.613,101.55620544889736
[앵커의 마침표]“일상이 된 만우절” ｜ 뉴스A [lKMNjZuUmo4].wav,55.637,97.99308711956604
[앵커의 마침표]“원한과 증오가 사라지길.” ｜ 뉴스A [VtYOdv4NScc].wav,46.129,92.87101128084892
[앵커의 마침표]“새해 복 많이 받으세요.” ｜ 뉴스A [DXJFt9SDIb8].wav,55.679,112.3365602636416
[앵커의 마침표]“박자는 생명” ｜ 뉴스A [AYS9DRwcMNc].wav,60.46,110.2060354619362
[앵커의 마침표]“민주주의에 대한 테러.” ｜ 뉴스A [GA66viPVEAw].wav,56.599,117.20541423660464
[앵커의 마침표]“맛있었어요. 따뜻하게 입고 다니세요” ｜ 뉴스A [DWUirhLjmMo].wav,61.181,167.7544182814117
[앵커의 마침표]“돈만 벌면 된다는 생각은 옳지 않다” ｜ 뉴스A [gj676Gfn1yA].wav,62.458,163.07498287301348
[앵커의 마침표]갈등의 치유 고민할 때 ⧸ 채널A ⧸ 뉴스A [GqkI3RByXfs].wav,69.006,147.56143525978084
[앵커의 마침표]갈등의 정치 끝내야 ⧸ 채널A ⧸ 뉴스A [0Qo7ffQUCYw].wav,68.252,122.8994712118298
[앵커의 마침표]갈등 대신 대화를 ⧸ 채널A ⧸ 뉴스A [q7dCqlYpaLw].wav,60.633,93.58167851624935
"[앵커의 마침표]간절하게, 송구영신 ⧸ 채널A ⧸ 특집 뉴스A [noGS1G25zIM].wav",52.26,123.62880773957689
[앵커의 마침표]가장 중요한 것은 민생 ｜ 뉴스A [WKEPc2U_mGA].wav,60.03,131.09449799766668
"[앵커의 마침표]가장 소중한 것, 안전 ｜ 뉴스A [2FoVcZMWLfo].wav",46.942,112.71362573649904
[앵커의 마침표]“황당무계하다” ｜ 뉴스A [aU1rIp2Q8zE].wav,62.909,107.64835330034448
"[앵커의 마침표]검은 유혹, 우리 아이 노린다 ｜ 뉴스A [oAgF3haRRW8].wav",68.29,116.98849541028902
